-2000,227
-2000,6703
-2000,9526
-1999,2644
-1999,4251
-1999,7329
-1999,9066
-1999,10237
-1999,10747
-1999,11238
-1999,11375
-1999,11763
-1997,2230
-1997,3542
-1997,8862
-1997,10467
-1997,10486
-1997,11365
-1995,11792
-1995,11862
-1994,1647
-1993,2066
-1993,3077
-1993,3083
-1993,6876
-1993,10501
-1992,807
-1992,9211
-1991,2140
-1991,5337
-1991,9741
-1990,29
-1989,6265
-1988,4259
-1988,6438
-1987,5281
-1987,7389
-1986,1918
-1986,2721
-1985,3502
-1985,6314
-1985,8867
-1984,1711
-1984,3271
-1984,9352
-1984,9520
-1984,11334
-1982,11758
-1981,6693
-1981,11768
-1980,413
-1980,1728
-1980,2707
-1980,5434
-1980,11710
-1979,250
-1979,699
-1978,2718
-1978,7052
-1978,8460
-1978,11190
-1977,1504
-1977,7088
-1977,9609
-1975,11231
-1975,11997
-1974,5627
-1974,9440
-1974,11261
-1973,3317
-1973,9293
-1972,2723
-1972,7994
-1971,1565
-1971,4335
-1970,1232
-1970,4600
-1970,5998
-1970,8153
-1969,2641
-1969,6452
-1969,8005
-1969,8980
-1968,2630
-1968,4382
-1967,6696
-1967,8165
-1966,6022
-1966,7263
-1966,10272
-1966,11520
-1965,7959
-1964,2471
-1964,10691
-1963,158
-1962,775
-1962,8704
-1961,1326
-1959,2113
-1959,2265
-1959,3237
-1959,5050
-1958,1685
-1958,4736
-1958,6673
-1958,9084
-1958,11202
-1957,964
-1957,10189
-1956,1992
-1956,2922
-1956,3212
-1956,6695
-1955,3772
-1955,4325
-1955,4407
-1955,5858
-1954,651
-1954,1010
-1954,2379
-1954,5767
-1953,37
-1953,3678
-1953,3899
-1953,5952
-1952,983
-1952,3149
-1952,5380
-1952,8115
-1952,10234
-1951,5384
-1951,6013
-1950,5954
-1950,7166
-1950,7814
-1950,7912
-1950,10903
-1949,3336
-1949,6534
-1949,6575
-1949,7245
-1949,7274
-1949,8332
-1949,10298
-1948,3843
-1948,4963
-1948,5925
-1947,3956
-1947,5396
-1947,7980
-1946,7424
-1946,9252
-1946,11843
-1945,1861
-1945,2606
-1945,4073
-1945,11942
-1944,487
-1944,4574
-1944,7195
-1943,225
-1943,295
-1943,5159
-1942,8846
-1942,9265
-1942,11959
-1941,2103
-1941,4774
-1941,6034
-1941,6862
-1941,9851
-1940,2877
-1940,9395
-1940,10132
-1939,1597
-1937,496
-1937,3578
-1937,9224
-1937,10201
-1936,7780
-1936,7978
-1936,8266
-1935,2648
-1935,3059
-1935,4920
-1935,5032
-1935,7783
-1935,9446
-1934,1455
-1934,9396
-1933,618
-1933,8329
-1932,9832
-1931,3339
-1930,5544
-1930,9460
-1928,994
-1928,2660
-1928,3103
-1928,4202
-1927,9776
-1927,11542
-1926,1406
-1925,723
-1925,6519
-1924,2655
-1924,6326
-1924,7810
-1924,11379
-1923,1621
-1923,10916
-1922,9094
-1922,9653
-1921,5967
-1921,9488
-1921,9904
-1920,4192
-1920,5370
-1920,6255
-1920,7387
-1920,8256
-1920,10847
-1919,2982
-1918,9457
-1917,362
-1917,565
-1917,1719
-1917,2762
-1917,6151
-1917,7941
-1916,1962
-1915,2436
-1915,10178
-1914,1666
-1914,2656
-1914,3205
-1914,4448
-1914,10591
-1913,4616
-1913,5066
-1912,932
-1912,6102
-1912,8210
-1912,9594
-1911,1065
-1911,1393
-1910,3855
-1910,8200
-1910,9133
-1910,9935
-1909,3327
-1909,7658
-1908,9462
-1908,10689
-1907,5310
-1907,9531
-1907,10768
-1906,500
-1906,2119
-1906,2811
-1906,3724
-1906,6768
-1905,617
-1905,5354
-1904,548
-1904,9064
-1904,10077
-1903,4141
-1903,6975
-1903,7419
-1902,2190
-1901,7215
-1901,9118
-1900,5283
